小区名,街道,最近地铁站,线路,边界到最近出入口(m),中心到站中心(m),占地(㎡),纬度,经度
青春家园,粤海街道,南山书城,9,18.3,145.2,8648,22.520203,113.923888
丽雅苑,西丽街道,留仙洞,13/5,19.5,204.3,19526,22.585598,113.940322
前海宸湾,招商街道,赤湾,2/5/8,19.7,119.7,10533,22.482389,113.893657
金钟大厦,粤海街道,南山书城,9,20.4,83.3,4866,22.520939,113.924137
西丽华昌大厦,西丽街道,茶光,7,21.0,127.7,1354,22.578038,113.94872
龙都花园,桃源街道,珠光,7,21.6,159.2,19610,22.572378,113.954752
汇景豪苑,粤海街道,深大,1/13,23.0,375.4,18350,22.543923,113.938349
天骄华庭,招商街道,海月,2/8,23.8,190.6,24398,22.502365,113.931264
丽苑阁,西丽街道,西丽,5/7,24.6,112.8,1672,22.582887,113.950075
荔园,招商街道,水湾,2/8,26.6,190.7,23436,22.491858,113.913012
龙联花园,桃源街道,珠光,7,31.8,219.9,45709,22.572176,113.957695
天鹅湖花园三期,沙河街道,侨城北,2/8,32.0,136.8,38423,22.546663,113.982736
观峰阁,南山街道,荔湾,5,32.2,170.8,5608,22.499831,113.889117
海晖大厦,粤海街道,南油,12/9,32.8,303.2,9120,22.510858,113.920756
荷园4,桃源街道,西丽湖,7,33.3,160.7,496,22.596228,113.962075
深铁·熙府,招商街道,左炮台东,12,33.4,411.8,37213,22.47345,113.892256
南山花园,南山街道,荔湾,5,33.8,269.5,53800,22.50103,113.890909
南侨花园,南头街道,桃园,1/12,34.4,247.9,4237,22.533172,113.920346
西湖林语,桃源街道,西丽湖,7,34.8,76.9,23495,22.595818,113.960681
众冠时代广场,桃源街道,大学城,5,35.3,141.0,1077,22.586007,113.959353
深港产学研基地,粤海街道,粤海门,13/9,35.7,164.2,1676,22.536313,113.93951
太子湾·瑞玺,招商街道,太子湾,12,35.8,202.9,15502,22.477762,113.907755
泛海·拉菲花园二期,南山街道,荔湾,5,38.5,263.9,23874,22.498797,113.888508
顾家青年公寓,招商街道,花果山,12,38.5,96.3,1160,22.496815,113.913314
蔚蓝海岸三期,粤海街道,登良,2/8,39.4,329.7,67466,22.514726,113.931775
泛海·拉菲花园,南山街道,荔湾,5,39.5,180.6,28947,22.502426,113.88941
田厦·翡翠明珠花园,南头街道,桃园,1/12,39.7,201.6,19534,22.536642,113.918425
华府假日大厦,招商街道,水湾,2/8,41.6,89.7,2069,22.49103,113.914082
龙电花园B区,招商街道,四海,12,44.4,237.7,6269,22.505441,113.916846
宝能太古城,蛇口街道,海月,2/8,45.7,162.1,45986,22.503903,113.934262
前海湾花园一期,南山街道,妈湾,5,46.1,169.8,16192,22.512733,113.880907
前海天境,南山街道,前湾公园,5,46.1,313.1,27022,22.517236,113.884116
龙城花园,粤海街道,南油,12/9,46.6,207.8,31377,22.514425,113.923017
丽新花园,西丽街道,西丽,5/7,46.9,244.0,17330,22.585798,113.948708
荷园5,桃源街道,西丽湖,7,47.4,214.3,496,22.596518,113.962624
汉园茗院A区,桃源街道,长岭陂,5,47.7,253.8,21189,22.599926,114.005358
百富大厦,南山街道,南油,12/9,49.1,76.9,4790,22.513484,113.920483
雅丽阁,西丽街道,茶光,7,49.4,118.0,2634,22.577744,113.948529
山东大厦,南山街道,南山书城,9,49.4,332.6,6159,22.524477,113.923679
南海城中心,南山街道,南光,12,49.7,270.4,14982,22.521498,113.918176
荔庭园,南山街道,荔林,9,50.2,178.2,18299,22.513246,113.908135
泰格公寓,招商街道,海上世界,12/2/8,51.1,239.0,11839,22.48687,113.907569
丽新小区,西丽街道,西丽,5/7,52.1,236.6,10137,22.585532,113.950584
南油生活区,粤海街道,南油,12/9,52.4,305.5,152973,22.511937,113.923629
荔林春晓,南头街道,南头古城,12,53.6,115.8,17793,22.540948,113.920355
招商前海·领尚公馆,南山街道,铁路公园,5,56.5,262.5,8667,22.506819,113.883392
海滨花园,招商街道,海上世界,12/2/8,58.5,340.5,35646,22.48824,113.912804
东方海雅居,南山街道,南光,12,59.6,57.3,4832,22.519162,113.919206
康乐园,南山街道,南山书城,9,60.5,274.3,18145,22.520062,113.921389
四达大厦,南山街道,南油,12/9,61.7,115.7,3198,22.512879,113.920371
众冠西郡园,西丽街道,西丽,5/7,61.8,156.4,4227,22.5827,113.950488
2A,粤海街道,深大南,9,61.9,189.1,2295,22.527588,113.931967
华晖云门,桃源街道,塘朗,5,62.3,272.2,23796,22.595087,113.995856
缤纷假日豪园,南山街道,南山书城,9,63.3,244.2,12066,22.523559,113.922795
怡苑阁,南山街道,南山,11/12,63.9,237.3,5348,22.528537,113.916941
32栋,招商街道,海月,2/8,68.5,95.0,732,22.503389,113.932045
御海新苑,南头街道,大新,1,68.7,218.3,12052,22.533675,113.909076
前海华庭,南头街道,南头古城,12,69.2,153.1,5645,22.539216,113.920274
阳光荔景,南头街道,南头古城,12,69.2,144.6,15321,22.539838,113.920723
壹间水湾北区,招商街道,水湾,2/8,69.3,88.2,8597,22.490725,113.91513
怡然天地居,桃源街道,龙井,7,71.2,149.1,15148,22.566336,113.968642
中信红树湾,沙河街道,红树湾,2/8,72.6,433.9,159710,22.531032,113.960681
恒立听海,粤海街道,科苑,13/2/8,72.9,405.0,21414,22.526597,113.942023
中山颐景花园二期,南头街道,中山公园,12,73.1,219.8,5818,22.551507,113.919211
招商海月花园五期,招商街道,海月,2/8,73.6,264.8,28756,22.50136,113.931194
百旺研发公寓,西丽街道,百旺,13,73.7,189.2,4252,22.626862,113.934721
珠光商住楼,桃源街道,茶光,7,77.3,218.6,1558,22.578736,113.950633
祥祺花园,沙河街道,白石洲,1,77.4,223.3,28118,22.544489,113.961942
弘基朗寓,桃源街道,塘朗,5,78.4,195.7,2798,22.593975,113.996213
佳兆业·香瑞园,桃源街道,深云,7,80.3,383.6,64813,22.56219,113.986645
南光城市花园,南山街道,南光,12,83.6,298.1,13625,22.522138,113.919243
留仙苑,西丽街道,西丽,5/7,83.7,289.6,16087,22.582736,113.946792
万科蛇口公馆,蛇口街道,东角头,2/8,83.7,174.5,18320,22.490364,113.927503
南荔苑,南山街道,荔林,9,84.0,253.7,7964,22.516016,113.910578
馨荔苑,南头街道,南头古城,12,84.1,233.3,3027,22.53838,113.920219
深业鹤塘岭花园,沙河街道,世界之窗,1/2/8,84.5,286.3,14362,22.542211,113.96817
世界花园雅兰居,沙河街道,世界之窗,1/2/8,85.2,204.3,12437,22.541696,113.969276
前海润峯府,南山街道,前湾公园,5,88.7,330.7,30365,22.518527,113.882487
京基·御景峯一期,桃源街道,长岭陂,5,92.1,317.6,35478,22.600797,114.008038
后海公馆,蛇口街道,湾厦,2/8,92.5,261.3,23089,22.494422,113.932602
前海港湾花园,南山街道,荔湾,5,92.6,196.9,19216,22.500295,113.886625
大冲新城花园,粤海街道,高新园,1,93.9,363.3,40984,22.545125,113.946245
世界花园樱花居,沙河街道,世界之窗,1/2/8,94.0,211.8,14475,22.541486,113.970378
中熙·君南山,南山街道,南油西,9,94.3,174.6,12052,22.511576,113.912017
顺天大厦,南山街道,南山,11/12,95.1,304.5,7118,22.527998,113.915884
滨福庭园,粤海街道,科苑,13/2/8,95.8,284.5,14180,22.529242,113.943639
朗麓家园,桃源街道,塘朗,5,95.8,417.5,153141,22.589853,113.992296
曦湾天馥,蛇口街道,海月,2/8,95.9,207.3,11625,22.501493,113.933904
科苑花园48区,粤海街道,高新中,13,96.1,287.7,11177,22.552118,113.941995
远洋天著,桃源街道,大学城,5,96.4,303.5,36614,22.587123,113.958331
京基·御领公馆,桃源街道,长岭陂,5,97.3,305.6,14460,22.599638,114.006409
南水小区,蛇口街道,水湾,2/8,98.6,335.0,40495,22.490803,113.917995
珠光苑,西丽街道,茶光,7,98.8,249.2,17093,22.575301,113.947994
中爱花园,桃源街道,桃源村,7,101.7,289.6,21576,22.563752,113.979602
恒裕滨城一期,蛇口街道,湾厦,2/8,103.1,236.3,11305,22.495279,113.93554
31栋,招商街道,海月,2/8,103.4,142.6,732,22.50336,113.931561
春天广场,蛇口街道,水湾,2/8,104.4,166.4,2685,22.490606,113.916143
招商四海臻邸,招商街道,四海,12,106.3,168.1,3600,22.503503,113.918659
鼎胜山邻,桃源街道,龙井,7,106.7,219.8,3095,22.568598,113.968289
润城花园,桃源街道,珠光,7,107.8,309.1,29479,22.572525,113.953074
华彩天成,粤海街道,南山书城,9,108.1,161.1,5661,22.521312,113.925131
桃李花园,南头街道,大新,1,108.4,285.2,14153,22.534255,113.907795
常丰花园,南头街道,桃园,1/12,108.7,266.4,8149,22.534981,113.917246
天源大厦,南山街道,南山,11/12,109.6,270.0,3683,22.524998,113.917482
2B,粤海街道,深大南,9,109.7,245.9,1442,22.527617,113.932848
义学街,南头街道,中山公园,12,110.0,320.7,39273,22.547013,113.919739
金桃园大厦,南头街道,大新,1,110.3,253.8,10092,22.534953,113.912803
四海小区,招商街道,四海,12,115.5,338.4,74010,22.503768,113.920291
翠竹园,招商街道,四海,12,115.8,289.1,35388,22.501077,113.918498
花园城五期,招商街道,四海,12,117.1,223.9,7469,22.502605,113.914996
公园道大厦,南山街道,南油,12/9,119.1,273.1,9304,22.515353,113.91941
前海颐湾府,南山街道,铁路公园,5,120.0,218.1,12410,22.506735,113.886892
招商四海臻邸二期,招商街道,四海,12,120.3,304.9,10289,22.504423,113.919748
天悦园,粤海街道,南山书城,9,121.1,194.3,8172,22.520199,113.924864
水木丹华,桃源街道,深大丽湖,7,121.8,189.9,18267,22.594482,113.984542
学城绿园,桃源街道,西丽湖,7,123.0,158.5,7293,22.595078,113.960698
燕晗山居,沙河街道,侨城北,2/8,123.4,294.0,12320,22.544466,113.984143
华山村住宅区,沙河街道,侨城北,2/8,123.4,261.0,23291,22.545096,113.982665
海滨小区,粤海街道,深大南,9,124.4,285.1,19481,22.531565,113.931611
如意家园,南头街道,桃园,1/12,125.4,262.7,5810,22.534613,113.917379
汇城茗院,桃源街道,西丽湖,7,125.5,270.7,32106,22.5951,113.958383
龙海家园,南山街道,鲤鱼门,1,126.1,456.6,131597,22.538569,113.900834
春树里,蛇口街道,东角头,2/8,128.5,263.7,14038,22.48982,113.928875
科苑西住宅小区,粤海街道,深大,1/13,128.6,501.2,28367,22.545253,113.938889
广博星海华庭,蛇口街道,湾厦,2/8,128.9,296.0,19205,22.497584,113.931042
南山意境,南头街道,同乐南,12,129.1,492.6,29677,22.558197,113.909334
跃华园,南山街道,南山,11/12,129.2,220.1,3174,22.528981,113.91954
南国丽城,西丽街道,西丽,5/7,129.5,329.8,46165,22.58495,113.952319
南头古城,南头街道,中山公园,12,130.7,459.3,141695,22.546196,113.915998
深圳湾花园,沙河街道,白石洲,1,131.2,376.2,19044,22.545505,113.960563
漾日湾畔,粤海街道,后海,11/13/2/8,133.4,394.9,21826,22.522737,113.933795
万象新园,南山街道,南山,11/12,134.7,356.7,17832,22.527024,113.922168
秀林新居,南头街道,南头古城,12,135.4,244.8,1964,22.538487,113.920703
光大邨,南山街道,南山,11/12,135.6,239.8,7151,22.529252,113.918138
荔苑小区,南山街道,南山,11/12,135.8,462.7,50357,22.530958,113.916855
世界花园聚龙居,沙河街道,世界之窗,1/2/8,136.1,312.0,7290,22.541223,113.971958
信和自由广场,粤海街道,南油,12/9,136.9,455.6,22928,22.509546,113.920266
龙城新苑,南山街道,南山书城,9,138.1,213.2,8238,22.522179,113.921644
荷园2,桃源街道,西丽湖,7,138.1,219.4,582,22.595284,113.962223
光侨小区,沙河街道,华侨城,1,138.5,270.7,28706,22.538712,113.981468
侨城豪苑一期,沙河街道,白石洲,1,139.5,247.9,10103,22.544443,113.96344
30栋,招商街道,海月,2/8,141.7,189.7,733,22.503335,113.931093
白石洲,沙河街道,白石洲,1,142.4,488.6,245570,22.54457,113.966447
豪方天际花园,南头街道,同乐南,12,145.2,266.9,35104,22.557281,113.915324
朗景园,粤海街道,高新园,1,145.5,361.6,11346,22.544015,113.945714
中旅广场,沙河街道,华侨城,1,147.7,436.5,52607,22.539427,113.977716
新华大厦,西丽街道,西丽,5/7,151.8,382.1,9671,22.585654,113.946352
美伦公寓,招商街道,海上世界,12/2/8,152.1,293.3,14177,22.490103,113.907668
太子湾·豫玺,招商街道,太子湾,12,152.1,276.6,7571,22.477116,113.90439
招商望海玥家园,蛇口街道,东角头,2/8,153.1,270.8,10528,22.487509,113.92447
桑达苑,粤海街道,高新中,13,154.9,407.2,8808,22.553335,113.942005
莲城花园,南头街道,中山公园,12,155.3,368.1,31645,22.548457,113.921802
鸿瑞花园,南山街道,南山书城,9,156.4,383.1,43909,22.52447,113.921709
中山颐景花园一期,南头街道,中山公园,12,157.9,302.4,9030,22.552069,113.919821
水木华庭小区,桃源街道,桃源村,7,158.0,338.9,23278,22.565477,113.975267
信鹏大楼,沙河街道,白石洲,1,158.0,277.8,2562,22.541177,113.959958
绿海名都,南头街道,大新,1,158.3,356.4,31256,22.532826,113.908075
崇文花园,桃源街道,深大丽湖,7,158.6,435.4,103323,22.593073,113.98642
宝珠花园,桃源街道,珠光,7,159.3,422.7,42896,22.574042,113.952918
丽苑二村南区,西丽街道,茶光,7,160.2,274.8,5183,22.578244,113.947072
龟山花园,招商街道,海上世界,12/2/8,161.8,453.3,34643,22.488546,113.905118
围仔东,蛇口街道,东角头,2/8,162.6,290.7,6679,22.491643,113.925511
锦隆花园,粤海街道,深大南,9,165.5,293.6,29031,22.527587,113.928647
海昌阁,南山街道,南山书城,9,165.6,254.1,2031,22.521312,113.92111
招商玺家园,招商街道,蛇口港,12/2/8,166.0,277.8,42910,22.478368,113.909667
众德汇爱心家园,招商街道,花果山,12,166.3,220.5,1245,22.496938,113.911991
荔香源,南头街道,南头古城,12,166.9,222.6,5679,22.53925,113.921239
悠然天地,南头街道,南头古城,12,169.6,256.2,27313,22.541454,113.921621
民政公寓,南头街道,桃园,1/12,171.3,365.6,4801,22.532337,113.921247
荷园1,桃源街道,西丽湖,7,171.4,272.3,582,22.595087,113.962706
2栋2单元,粤海街道,人才公园,13,171.4,302.9,1204,22.516485,113.93592
英达钰龙园,南头街道,南头古城,12,172.5,413.5,10294,22.542232,113.915957
科苑花园34区,粤海街道,高新中,13,173.1,245.5,12580,22.550646,113.942708
龙泰轩,南山街道,南山书城,9,173.3,250.8,3753,22.522051,113.921214
南园枫叶公寓,南山街道,南光,12,173.4,332.3,19866,22.519282,113.916422
学府花园,南山街道,南山,11/12,173.5,344.5,17683,22.528985,113.921409
南油馨寓,粤海街道,南油,12/9,173.9,289.1,4461,22.514101,113.923976
蓝漪花园,蛇口街道,东角头,2/8,174.3,365.6,19880,22.488039,113.923068
前海湾花园四期,南山街道,妈湾,5,174.4,236.3,8364,22.51254,113.88276
君汇新天,蛇口街道,海月,2/8,174.5,376.4,37830,22.506237,113.934395
林涧美院,桃源街道,茶光,7,176.1,323.4,4155,22.579203,113.951625
塘朗大厦,桃源街道,深大丽湖,7,177.9,259.1,985,22.593543,113.982972
半山海景·兰溪谷 3期,招商街道,海上世界,12/2/8,178.3,356.4,6385,22.491281,113.90973
弘都世纪公寓,蛇口街道,湾厦,2/8,178.7,297.0,3180,22.498186,113.931408
珠光花半里,桃源街道,珠光,7,179.3,239.8,13354,22.573291,113.956691
前海湾花园三期,南山街道,妈湾,5,181.4,264.7,8119,22.51342,113.881925
华润深圳湾·悦府2期,粤海街道,后海,11/13/2/8,182.7,441.8,8611,22.519544,113.94109
众冠花园,西丽街道,西丽,5/7,183.3,319.3,18462,22.582827,113.952371
华府国际,南头街道,同乐南,12,183.8,393.0,20607,22.557203,113.910911
众望楼,西丽街道,西丽,5/7,184.6,283.5,4155,22.581233,113.948675
招商领玺家园,南山街道,铁路公园,5,184.7,384.3,13627,22.508794,113.885018
卓越浅水湾,粤海街道,科苑,13/2/8,185.9,518.7,20769,22.525613,113.942336
金海岸大厦,粤海街道,南山书城,9,186.3,457.5,7181,22.517355,113.923648
珑御府,粤海街道,科苑,13/2/8,186.5,374.7,13270,22.529248,113.944561
熙湾,粤海街道,科苑,13/2/8,186.6,357.3,9833,22.527993,113.943641
莺新花园,西丽街道,西丽,5/7,186.8,329.1,8790,22.586578,113.948645
兴园居,西丽街道,西丽湖,7,187.2,307.7,17126,22.597503,113.95775
29栋,招商街道,海月,2/8,187.4,239.2,732,22.503309,113.930607
中兴之家,南山街道,南山,11/12,189.4,297.4,10166,22.529801,113.918242
康乐大厦,南山街道,南山,11/12,190.1,328.8,10539,22.529867,113.919993
观海台,粤海街道,后海,11/13/2/8,190.4,554.4,40082,22.517687,113.932778
水湾小区,招商街道,花果山,12,190.5,313.1,8448,22.494465,113.91424
深铁·熙府,招商街道,左炮台东,12,191.6,30.8,39769,22.473184,113.896437
红树西岸,沙河街道,红树湾,2/8,191.7,396.0,77794,22.525234,113.960896
前海金岸,南头街道,大新,1,192.5,307.5,8349,22.535996,113.913234
时代骄子,南头街道,桃园,1/12,192.6,414.6,7353,22.53164,113.9203
光华街社区,沙河街道,华侨城,1,193.4,465.1,52075,22.537664,113.984817
桃苑小区,南头街道,桃园,1/12,193.7,444.0,12194,22.531719,113.917989
世界花园海华居,沙河街道,世界之窗,1/2/8,194.1,332.9,16673,22.542816,113.969838
金众·麒麟公馆,西丽街道,西丽湖,7,194.5,359.7,42706,22.599143,113.962568
马家龙方卉园小区,南头街道,中山公园,12,194.6,364.3,18599,22.549986,113.921986
福庭苑,南山街道,南油西,9,194.9,286.9,20827,22.509803,113.912984
汇雅苑,沙河街道,白石洲,1,194.9,398.5,23025,22.539624,113.959926
金田花园,南山街道,南山,11/12,195.5,361.8,8838,22.525318,113.915794
宝能华府,西丽街道,留仙洞,13/5,196.6,281.4,5775,22.584975,113.94166
新德家园,南头街道,大新,1,196.9,360.4,14914,22.532069,113.909619
荣村小区,蛇口街道,东角头,2/8,196.9,415.6,28046,22.489608,113.9224
半山海景·兰溪谷二期,招商街道,海上世界,12/2/8,198.1,458.4,50779,22.492203,113.909285
招商海月花园三期,招商街道,海月,2/8,199.1,371.5,28601,22.499928,113.931855
鲸山别墅,招商街道,蛇口港,12/2/8,199.3,598.0,233979,22.484209,113.904175
翠苑小区,蛇口街道,东角头,2/8,199.3,351.1,9143,22.490609,113.923378
安南花园小区,招商街道,花果山,12,200.0,266.6,3328,22.497199,113.91151
