小区名,街道,最近地铁站,线路,边界到最近出入口(m),中心到站中心(m),占地(㎡),纬度,经度
德金花园,福海街道,福海西,12,10.5,221.2,21208,22.690908,113.782199
汇璟雅苑,石岩街道,上屋,13/6,11.7,157.5,8498,22.692339,113.935633
桃源居14区,西乡街道,钟屋南,12,13.7,310.5,44629,22.620231,113.856578
中粮·锦云,西乡街道,流塘,12,14.8,218.7,35090,22.587081,113.882564
新世界·松风明月花园,松岗街道,松岗,11/6,15.0,496.2,46551,22.772253,113.820977
园岭桃园居,石岩街道,上屋,13/6,15.5,131.6,5605,22.69287,113.934699
鸿荣源·禧园,新桥街道,沙井,11,16.8,202.4,60236,22.734342,113.821193
万象新天三期,西乡街道,固戍,1,17.5,150.8,11231,22.605003,113.842648
勤诚达·22世纪悦园,新安街道,洪浪北,5,19.7,205.9,16579,22.575912,113.905308
嘉华花园,西乡街道,流塘,12,21.2,108.9,15061,22.585885,113.884043
翠岗小区一区,福永街道,福围,12,24.0,144.2,22349,22.661143,113.816226
锦明花园,西乡街道,碧海湾,11,26.6,163.4,25367,22.580221,113.850687
玖悦雅轩,新安街道,灵芝,12/5,27.8,79.2,6099,22.572738,113.899388
裕安花园,新安街道,灵芝,12/5,28.0,246.1,47780,22.56998,113.898323
新苑雅筑,沙井街道,沙蚝,12,29.1,224.0,35587,22.743894,113.798239
云海臻府,沙井街道,海上田园南,12,34.1,323.2,26436,22.719073,113.771188
金泓·凯旋城,新安街道,新安,1,36.1,398.6,141549,22.550905,113.893436
园岭,石岩街道,上屋,13/6,41.5,282.3,39319,22.69322,113.936484
流塘75区小区,西乡街道,流塘,12,46.5,422.6,3710,22.584067,113.887631
园岭大道5号,石岩街道,上屋,13/6,46.9,202.1,3302,22.69351,113.934797
华侨城·宝辰,新安街道,宝安,11,47.0,175.9,2151,22.55619,113.875918
桃源居3区,西乡街道,西乡桃源,12,48.7,256.9,32597,22.616357,113.857855
碧海湾花园,西乡街道,西乡,1,48.9,216.7,30691,22.579751,113.855008
旭仕达名苑,新安街道,上川,12,53.1,462.5,4286,22.581699,113.887481
后瑞华庭,航城街道,后瑞,1,53.6,181.1,8011,22.633266,113.831102
流塘阳光花园,西乡街道,流塘,12,54.0,227.7,14158,22.584686,113.884165
都市翠海华苑,新安街道,灵芝,12/5,55.4,164.6,3559,22.572439,113.900742
凤田中心区,西乡街道,宝田一路,12,55.7,311.8,38627,22.598929,113.870862
惠中家属楼,新安街道,洪浪北,5,56.2,182.5,2198,22.577084,113.904141
丽景城,西乡街道,宝安客运,12,61.0,394.2,72526,22.591969,113.882458
御景台,新安街道,新安公园,12,61.1,306.0,38039,22.562783,113.907237
兰花苑,新安街道,上川,12,61.1,141.8,12063,22.578523,113.891113
永福苑,福永街道,福围,12,64.7,311.4,13799,22.658824,113.813516
富盈门,西乡街道,流塘,12,64.9,266.2,35427,22.589087,113.884785
桃源居西区,西乡街道,西乡桃源,12,65.0,414.6,124198,22.616872,113.854651
宝新花园,新安街道,翻身,5,67.0,149.1,6256,22.561647,113.888887
君钰府,新安街道,上川,12,73.2,343.8,14779,22.582756,113.890603
恒富花园,石岩街道,上屋,13/6,78.1,271.6,8559,22.694146,113.934847
溪头8区,松岗街道,松岗,11/6,79.3,327.7,51578,22.774753,113.827767
臣田新苑,西乡街道,宝田一路,12,81.6,223.4,20649,22.596779,113.871577
碧海君庭,西乡街道,碧海湾,11,81.9,132.0,14095,22.578474,113.849045
灵芝园,新安街道,新安公园,12,84.0,481.7,132575,22.569504,113.904893
招商臻府,新安街道,上川,12,84.6,298.7,18148,22.580554,113.888689
华强城市花园四期,福海街道,塘尾,11,87.7,285.4,29001,22.702924,113.811089
新庄园小区,西乡街道,流塘,12,87.9,405.2,38381,22.590165,113.883432
正大安大厦,新安街道,翻身,5,88.1,164.9,1785,22.564417,113.888456
富豪花园,石岩街道,石岩,13,88.2,226.4,11378,22.681163,113.933916
金域豪庭,福永街道,福永,11/12,88.6,440.3,101548,22.673652,113.803552
龙光·天悦龙庭,新安街道,宝安中心,1/5,92.3,311.7,46258,22.560446,113.882205
富御花园,新安街道,翻身,5,92.8,206.5,3354,22.562546,113.890423
天源花园,新安街道,上川,12,94.2,192.0,2585,22.579246,113.893247
凤凰雅居,西乡街道,宝田一路,12,94.3,239.9,12901,22.597758,113.871221
和安小区,福海街道,福海西,12,95.1,429.4,45036,22.694592,113.78637
华联·城市全景,新安街道,洪浪北,5,104.0,295.1,30063,22.576825,113.903076
古海花园,西乡街道,平峦山,12,104.3,287.2,4879,22.604286,113.866309
怀德城市花园,福永街道,怀德,12,104.9,326.2,6342,22.672216,113.814892
筑巢(前海)公寓,新安街道,兴东,5,109.3,258.1,3400,22.586674,113.91548
水口花园,新安街道,上川,12,110.3,524.3,175032,22.57834,113.896327
流塘荔景小区,西乡街道,流塘,12,110.3,425.1,119114,22.582859,113.884492
新安湖别墅区,新安街道,新安公园,12,111.2,262.7,3391,22.566089,113.903563
大观园小区,新安街道,新安公园,12,111.6,178.1,1098,22.565103,113.904239
翡翠华庭,新安街道,灵芝,12/5,112.7,195.3,2294,22.571917,113.901092
畔山美地嘉园,西乡街道,平峦山,12,113.4,273.9,40832,22.608874,113.864261
中粮大悦城·铂悦,新安街道,灵芝,12/5,113.4,307.1,17909,22.57063,113.896631
泰华花园,新安街道,上川,12,114.1,342.9,8994,22.577138,113.893233
海天花园,新安街道,翻身,5,115.4,221.2,13381,22.564721,113.889406
冠城世家,新安街道,灵芝,12/5,116.2,355.5,73052,22.568921,113.899969
凤凰天誉,西乡街道,宝田一路,12,119.3,256.3,15189,22.596778,113.875869
安泰花园,西乡街道,坪洲,1,119.5,231.2,6647,22.571438,113.867929
兴安楼,新安街道,洪浪北,5,121.6,251.5,4498,22.577987,113.908208
勤诚达·22世纪和园,新安街道,洪浪北,5,121.8,329.3,25313,22.575045,113.904382
海乐花园,西乡街道,西乡,1,122.0,303.0,15523,22.581706,113.856245
万象新天一期,西乡街道,固戍,1,123.1,342.1,12482,22.60613,113.844165
新城市广场,沙井街道,步涌,12,126.1,456.1,20138,22.761128,113.803002
沙浦一村永兴花园,松岗街道,松岗,11/6,127.8,634.1,37088,22.774777,113.818465
香缇湾花园,西乡街道,碧海湾,11,129.0,405.0,29852,22.578539,113.854209
鸿荣源·珈誉府6区,新桥街道,塘尾,11,130.3,381.8,34464,22.701544,113.813464
新安湖花园,新安街道,新安公园,12,131.2,444.9,90479,22.56699,113.90205
宝安6区,新安街道,新安公园,12,137.4,215.6,3416,22.564797,113.903929
富达工业区宿舍,新安街道,灵芝,12/5,138.4,316.1,10574,22.574583,113.897797
海云轩,新安街道,翻身,5,138.9,244.5,9252,22.560783,113.888995
松河瑞园,松岗街道,松岗,11/6,141.5,365.3,41290,22.772583,113.826785
水口花园宿舍楼,新安街道,上川,12,143.2,289.2,6749,22.580059,113.894258
雅涛花园,西乡街道,坪洲,1,146.8,333.1,14183,22.568965,113.866227
和合时代大厦,石岩街道,上屋,13/6,147.1,307.0,9539,22.694407,113.933343
中粮大悦城·天玺壹号,新安街道,灵芝,12/5,149.7,349.8,20432,22.571418,113.895864
润恒·都市茗荟花园(一期),新安街道,新安,1,149.9,347.7,23956,22.553542,113.88803
富士君悦府,西乡街道,固戍,1,151.3,273.5,10496,22.603871,113.839353
丽晶国际,新安街道,宝安中心,1/5,152.4,306.5,19267,22.558842,113.884998
宏发·前城滨海花园（二期）,西乡街道,坪洲,1,156.0,305.4,34975,22.573577,113.86813
鸿荣源·西岸观邸,新安街道,新安,1,157.3,325.2,22564,22.553513,113.890614
玖玖颂阁,新安街道,上川,12,157.4,511.3,15978,22.580657,113.886586
中洲华府,新安街道,灵芝,12/5,157.6,489.7,85292,22.576359,113.900219
润恒·都市茗荟花园(二期),新安街道,新安,1,158.3,369.7,34424,22.552105,113.886279
鸿荣源·熙龙湾（一期）,新安街道,临海,5,159.4,350.1,58439,22.550442,113.884086
鸿达兴花园,新桥街道,沙井,11,161.8,332.2,7621,22.730997,113.82102
弘雅花园三期,新安街道,上川,12,162.5,315.1,54877,22.578382,113.888784
玺玥华府,新安街道,洪浪北,5,163.0,281.5,8891,22.578997,113.903415
金雅新园,西乡街道,宝安客运,12,163.0,284.2,11387,22.593467,113.876101
华发新城华苑一期,沙井街道,海上田园南,12,163.3,446.6,30004,22.717896,113.771406
金成时代家园,新安街道,宝体,1,165.5,281.5,19934,22.565537,113.877623
中海西岸华府北区,松岗街道,朗下,12,165.7,479.8,96093,22.774005,113.815593
御溪城,松岗街道,松岗,11/6,167.0,368.3,13124,22.77187,113.82458
南航明珠花园,航城街道,固戍,1,168.2,618.3,82310,22.60784,113.837893
君成·雍和园,西乡街道,宝安客运,12,168.3,393.6,23494,22.590758,113.881992
宝利小区,西乡街道,西乡桃源,12,169.4,226.3,2269,22.614291,113.855153
中熙·香缤山花园,西乡街道,宝田一路,12,170.2,337.3,17287,22.598021,113.876802
鸿荣源·珈誉府2区,新桥街道,塘尾,11,171.6,324.2,40501,22.704598,113.815952
鸿荣源·熙龙湾（二期）,新安街道,临海,5,172.2,326.1,50556,22.549062,113.886843
遇见·美舍,新安街道,兴东,5,173.7,263.5,3198,22.583523,113.911845
蚝业雅苑,西乡街道,西乡,1,174.9,232.9,3834,22.58,113.859005
松茂·御龙湾,西乡街道,碧海湾,11,176.0,283.2,40087,22.576899,113.848438
万科大都会,新安街道,灵芝,12/5,176.5,381.3,27807,22.57269,113.895555
白金假日公寓,西乡街道,坪洲,1,179.0,241.7,8168,22.570527,113.863951
中海西岸华府南区,松岗街道,朗下,12,179.7,432.3,45354,22.771621,113.817017
怡景花苑,新安街道,翻身,5,180.3,234.0,6535,22.563227,113.886205
和荣西湾,西乡街道,固戍,1,181.2,403.9,10248,22.60521,113.8384
富东花园,西乡街道,流塘,12,181.8,328.6,24987,22.585831,113.881591
桃源居15区,西乡街道,钟屋南,12,184.5,467.0,60998,22.621054,113.858557
西乡安居家园,航城街道,固戍,1,187.0,537.7,26407,22.608535,113.840999
半岛明苑,西乡街道,坪洲,1,187.4,418.3,15312,22.573438,113.869477
庄边金庄园,西乡街道,流塘,12,187.6,477.1,32508,22.589037,113.880761
怀德峰景,福永街道,怀德,12,188.3,385.8,47077,22.665969,113.814761
学府雅苑,沙井街道,马安山,11,188.9,338.5,4546,22.718332,113.809072
麒麟名都,新桥街道,沙井,11,192.3,391.9,18399,22.736866,113.820827
西城品阁,新安街道,上川,12,195.7,348.8,6673,22.579932,113.888077
翠岗小区二区,福永街道,福围,12,196.2,353.0,17270,22.663029,113.816436
桥头岭,石岩街道,罗租,13,198.0,482.7,80942,22.675307,113.929084
河东骏丰园,西乡街道,流塘,12,198.9,434.3,13657,22.586841,113.880429
